№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
97	В этом кафе студент всегда заказывал	кофе	86	0	31	кофе 25, пиццу 13, обед 10, завтрак 4, пиво 2, яичницу 2, чай 2, мороженое 2, ланч 2, пирожное 2, суп 2, бульон 1, гамбургер 1, винегрет 1, первое 1, круассаны 1, сосиски 1, рыбу 1, бутерброд 1, выпивку 1, мороженное 1, блинчики 1, коньяк 1, компот 1, харчо 1, пирожные 1, чебуреки 1, еду 1, стол 1, борщ 1, пончик 1	29.069767	3.874853	61.6	2	2688.837209	2544.860465
98	Графиня хранила драгоценности в 	шкатулке	84	2	18	шкатулке 56, сейфе 6, ларце 4, секретере 2, шкафу 2, комоде 2, сундучок 1, — 1, сундучке 1, кубышке 1, шатулке 1, сундуке 1, сундучке, маленьком сундучке 1, с(ейфе) 1, чулках 1, бюро 1, банке 1, тумбочке 1	66.666667	2.169441	5.3	3	1311.000000	1044.500000
99	На праздник мама подарила сыну	велосипед	85	1	38	велосипед 13, подарок 9, телефон 8, машину 7, компьютер 5, свитер 3, машинку 3, костюм 2, портфель 2, книгу 2, игрушку 2, автомобиль 2, рюкзак 2, валенки 1, плеер 1, ручку 1, новую рубашку 1, цветы 1, лошадку 1, магнитофон 1, принтер 1, шпагу 1, кошелек 1, ноутбук 1, часы 1, очки 1, машин(к)у 1, мотоцикл 1, - 1, — 1, альбом 1, тетрадь 1, самолет 1, сумку 1, вертолет 1, собаку 1, фотоаппарат 1, рогатку 1	15.294118	4.604615	23.1	4	2595.258824	2429.823529
100	Художник изобразил на картине	пейзаж	85	1	41	пейзаж 16, природу 9, море 8, натюрморт 4, дерево 4, лес 4, лошадь 3, девушку 2, медведя 2, собаку 2, девочку 1, человека 1, замок 1, кошечку 1, квадрат 1, пейзажа 1, живопись 1, полумесяц 1, цветы 1, пейзажи 1, облик Мадонны 1, улицу 1, окно 1, восход 1, жену 1, лето 1, натурщицу 1, сестру 1, пингвина 1, баталию 1, девятый вал 1, небо 1, зверя 1, речку 1, Мадонну 1, весну 1, женщину 1, лес  1, трех богатырей 1, елку 1, реку 1	18.823529	4.629577	24.3	2	3451.223529	3268.964706
101	Мы вернулись в кафе и забрали забытый	портфель	85	1	23	портфель 17, кошелек 14, чемодан 10, зонтик 8, зонт 6, телефон 6, рюкзак 3, сверток 2, счет 2, завтрак 2, плащ 2, багаж 2, предмет 1, ужин 1, компьютер 1, чай 1, портсигар 1, кейс 1, цветок 1, чайник 1, ноутбук 1, фотоаппарат 1, пакет 1	20.000000	3.753114	31.2	2	2691.047059	2463.800000
102	Наместник императора прославился своей	жестокостью	83	3	32	жестокостью 30, добротой 9, - 5, смелостью 4, мудростью 3, эрудицией 3, злостью 2, жадностью 2, глупостью 2, смекалкой 1, дерзостью 1, храбростью 1, инициативой 1, веселостью 1, привлекательностью 1, наглостью 1, красотой 1, хитростью 1, отвагой 1, славой 1, подготовкой 1, сообразительностью 1, честностью 1, прямотой 1, разорительностью 1, нет ответа 1, работоспособностью 1, сторогстью 1, проницательностью 1, справедливостью 1, игрой 1, откровенностью 1	36.144578	3.834612	15.8	4	2766.168675	2531.674699
103	Туристы восхищались живописной	природой	86	0	11	природой 41, картиной 21, местностью 12, панорамой 3, рекой 2, долиной 2, картине 1, -гор 1, окрестностями 1, бухтой 1, группой 1	47.674419	2.197512	169.9	3	2840.348837	2590.604651
104	Девушка надела бордовые	туфли	86	0	24	сапоги 14, туфли 14, босоножки 10, брюки 10, джинсы 5, колготки 5, перчатки 3, штаны 3, носки 3, сапожки 3, кроссовки 2, чулки 2, платье 1, леггинсы 1, шорты 1, сережки 1, башмаки 1, - 1, трусы 1, рукавички 1, ботинки 1, штиблеты 1, пальто 1, гольфы 1	16.279070	3.876459	23.2	2	2720.093023	2524.848837
105	Дошкольник взял фломастер и нарисовал оранжевый	круг	86	0	26	круг 20, шар 18, апельсин 10, цветок 9, шарик 4, букет 3, предмет 2, мяч 2, паровоз 1, портфель 1, закат 1, расвет 1, пейзаж 1, лист 1, слон 1, дом 1, галстук 1, _ 1, домик 1, квадрат 1, листок 1, берег 1, арбуз 1, жилет 1, верблюд 1, дуб 1	23.255814	3.635559	157.4	1	3106.918605	2891.186047
106	Сестра волновалась перед важным	событием	85	1	17	событием 35, экзаменом 24, свиданием 6, совещанием 4, собранием 3, делом 2, занятием 1, зачетом 1, собитием 1, визитом 1, клиентом 1, выходом 1, мероприятии 1, концертом 1, днем 1, докладом 1, мероприятием 1	41.176471	2.646701	206.5	4	2173.800000	2079.223529
107	Из шкафа мама достала старую	кофту	84	2	27	кофту 18, шубу 12, шаль 9, шляпу 7, одежду 4, сумку 4, тетрадь 3, рубашку 2, книгу 2, юбку 2, скатерть 2, простынь 2, вещь 2, чашку 2, обувь 1, шляпку 1, пижаму 1, ложку 1, книжку 1, гармошку 1, корзину 1, косынку 1, — 1, шапку 1, жилетку 1, картинку 1, куртку 1	21.428571	3.999295	7.7	2	2575.607143	2424.440476
108	Вернувшись в офис после отпуска, секретарша заметила новый	стол	86	0	27	стол 25, компьютер 19, шкаф 7, телефон 5, стул 4, предмет 2, ноутбук 2, диван 2, порядок 2, чайник 1, интерьер 1, гарнитур 1, принтер 1, ша(?) 1, кабинет 1, альбом 1, журнал 1, - 1, парк 1, наряд 1, письменный стол 1, гардероб 1, холодильник 1, чугун? 1, телевизор 1, прибор 1, элемент порядка 1	29.069767	3.588263	402.5	1	3596.988372	3359.244186
109	На кухне дочка доедает вкусный	пирог	86	0	15	пирог 26, обед 10, завтрак 9, торт 7, бутерброд 7, пирожок 6, борщ 5, ужин 4, омлет 3, суп 3, кисель 2, салат 1, яблок 1, арбуз 1, миндаль 1	30.232558	3.287983	16.3	2	1981.465116	1818.034884
110	Прохожие еле разминулись на узкой	тропинке	86	0	8	тропинке 50, дорожке 16, дороге 7, тропе 5, улице 3, улочке 2, лестнице 2, - 1	58.139535	1.935464	15.5	3	1953.430233	1724.593023
111	В киоске продавались сувениры из светло-серой	бумаги	80	6	22	бумаги 18, глины 13, керамики 8, ткани 6, замши 5, кожи 5, пластмассы 4, фольги 3, - 3, шерсти 2, краски 2, комнаты 1, подложке 1, обертке 1, материи 1, фарфора 1, бумаге 1, парчи 1, картонки 1, бронзы 1, альбом 1, оригами 1	22.500000	3.729388	155.8	3	4061.275000	3890.725000
112	Ассистент обратился за помощью к своей	подруге	86	0	27	подруге 12, помощнице 10, учительнице 9, руководительнице 8, секретарше 6, студентке 3, жене 3, соседке 3, маме 3, напарнице 3, начальнице 3, коллеге 3, сокурснице 2, преподавательнице 2, спутнице 2, знакомой 2, однокурснице 2, ассистентке 1, лаборантке 1, сотруднице 1, абитуриентке 1, медсестре 1, научной руководительнице 1, - 1, ученице 1, наставнице 1, сестре 1	13.953488	4.245310	79.4	3	3630.976744	3411.244186
113	Лектор увлечённо рассказывал о недавнем	событии	86	0	25	событии 25, происшествии 14, проишествии 11, путешествии 10, случае 3, прошлом 2, приключении 2, времени 2, заседании 1, собитии 1, — 1, отпуске 1, проишествие 1, 3114 1, походе 1, инциденте 1, - 1, будущем 1, посещении занятия 1, эксперименте 1, нет ответа 1, заявлении 1, посетителю 1, случаем 1, семинаре 1	29.069767	3.502692	206.5	4	2817.406977	2664.674419
114	Андрей устал нести тяжёлый	чемодан	86	0	11	чемодан 36, рюкзак 19, груз 14, портфель 7, мешок 3, саквояж 2, сундучок 1, пакет 1, предмет 1, руюкзак 1, баул 1	41.860465	2.396762	42.8	3	2085.837209	1938.488372
115	Грабители украли из квартиры ценный	предмет	80	6	34	предмет 14, подарок 12, груз 5, гарнитур 4, сервиз 4, сувенир 3, портрет 3, экземпляр 2, портфель 2, компьютер 2, документ 2, магнитофон 2, - 2, антиквариат 2, вещи 2, сундук 1, пылесос 1, клад 1, экспонат 1, антиквар 1, сосуд 1, товар 1, кейс 1, ковер 1, секретер 1, девайс 1, кошелек 1, кулон 1, картину 1, ноутбук 1, приз 1, пакет документов 1, письма 1, артефакт 1	17.500000	4.453904	154.4	2	3522.200000	3318.400000
116	Моя крестница живёт прямо напротив местного	магазина	85	1	45	магазина 8, клуба 7, универмага 6, кинотеатра 4, театра 4, банка 4, парка 3, университета 3, телеграфа 3, отделения милиции 2, самоуправления 2, рынка 2, ателье 2, дом культуры 2, музея 2, загса 2, дурдома 1, собора 1, прихода 1, исполкома 1, почтового отделения 1, детского сада 1, кафе 1, - 1, кино 1, муниципалитета 1, ЗАГСа 1, УВД 1, РУВД 1, жэк 1, ЖЭКа 1, универсама 1, супермаркета 1, дома культуры 1, отделения 1, дома 1, Кремля 1, почтампа 1, полицейского 1, управления 1, бара 1, планетария 1, отделения почты 1, управдома 1, монумента 1	9.411765	5.098498	147.2	4	3771.576471	3580.223529
117	Ирина зашла на вещевой рынок и купила недорогую	шубу	86	0	34	шубу 11, вещь 9, сумку 8, одежду 6, обувь 5, юбку 4, блузку 4, кофточку 3, кофту 3, посуду 3, куртку 3, шубку 2, сумочку 2, шаль 2, шапку 2, шкатулку 1, скатерть 1, блузу 1, кастрюлю 1, игрушку 1, обновку 1, вазу 1, овощ/рыбу 1, обувку 1, мебель 1, одежку 1, картофель 1, вещицу 1, бижутерию 1, тунику 1, ягоду 1, еду 1, кровать 1, футболку 1	12.790698	4.557404	18.7	2	2830.430233	2636.651163
118	Парижанин с гостьей гуляли по окрестным	местам	81	5	25	местам 23, улицам 14, паркам 6, Парижа 6, полям 6, достопримечательностям 3, лесам 3, селам 2, улочкам 2, околицам 1, местностям 1, Елисейским полям 1, дворам 1, парка 1, города 1, парку 1, городам 1, скверам 1, Москвы 1, деревням 1, пейзажам 1, нет ответа 1, лугам 1, горам 1, селениям 1	28.395062	3.656097	926.6	2	3084.456790	2941.259259
119	Анна обожала посещать субботние	вечера	85	1	24	вечера 27, вечеринки 18, концерты 8, посиделки 6, мероприятия 4, чтения 3, встречи 2, тренировки 1, вечеренки 1, лекции 1, конерты 1, дискотеки 1, спектакли 1, танцы 1, беседы 1, занятия 1, песнопения 1, слушанья 1, выставки 1, дни 1, утренники 1, курсы 1, тусовки 1, театр 1	31.764706	3.377564	335.4	3	3006.564706	2847.341176
120	Всю жизнь дедушка собирал антикварные	вещи	85	1	14	вещи 41, марки 10, предметы 10, часы 5, монеты 5, изделия 3, картины 3, статуэтки 2, книжки 1, произведения 1, шкатулки 1, тарелки 1, книги 1, картинки 1	48.235294	2.634953	242.5	2	3008.176471	2890.141176
