№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
81	В командировки военный брал с собой	чемодан	168	4	72	чемодан 27, жену 18, пистолет 10, фотографию 6, документы 6, рюкзак 6, портфель 5, бритву 5, нож 4, автомат 4, планшет 3, оружие 3, сына 3, телефон 2, флягу 2, пулемет 2, книгу 2, книги 2, кипятильник 2, вещи 2, вещмешок 2, письмо 2, карту 1, бритвенный прибор 1, электрическую бритву 1, компот 1, книжку 1, ноутбук 1, бинокль 1, друзей 1, документ 1, мишку 1, разговорник 1, папку 1, сухари 1, чемоданчик 1, водку 1, кружку 1, запасные брюки 1, несессер 1, обед 1, кошелек 1, билет 1, кофе 1, фотографию жены 1, собаку 1, фотоаппарат 1, бутерброд 1, ложку 1, фотографии 1, полотенце 1, револьвер 1, дневник 1, паспорт 1, письма 1, саквояж 1, фен 1, билеты 1, бутылку водки 1, шинель 1, самое необходимое 1, наган 1, сигарету 1, вино 1, бумажник 1, талисман 1, сумку 1, паланшет 1, еду 1, штаны 1, семью 1, шубу 1	16.071429	5.281168	42.8	3	2756.625000	2689.244048
82	По заданию педагога студент чертит	чертеж	171	1	40	чертеж 67, круг 15, схему 11, окружность 7, квадрат 6, проект 6, эскиз 6, график 5, треугольник 5, деталь 4, чертежи 3, дом 3, план 3, макет 2, диаграмму 2, линию 2, прямоугольник 1, инж. Граф 1, круги 1, карту 1, лестницу 1, графмк 1, диплом 1, чертенка 1, модель 1, линии 1, таблицу 1, интеграмму 1, фигуры 1, на доске 1, планометрическую проекцию 1, план района 1, проекции 1, плакат 1, на бумаге 1, колесо 1, лампу 1, параллелепипед 1, картинку 1, ерунду 1	39.181287	3.787737	17.0	2	3040.116959	2921.602339
83	Перед праздником секретарша украсила	кабинет	171	1	25	кабинет 59, офис 33, стол 21, елку 18, комнату 9, зал 5, приемную 4, дверь 4, окна 2, себя 1, помещение цветами 1, начальника 1, стены 1, сад 1, окно 1, стену 1, салон 1, помещение 1, свой стол 1, - 1, свою голову 1, гирляндами 1, замок 1, рабочее место 1, свой дом 1	34.502924	3.096348	148.5	3	2612.695906	2413.929825
84	Кладовщик убрал ключи в	магазине	165	7	90	магазине 12, квартире 5, комнате 5, сейфе 5, подсобке 5, кладовку 5, - 4, подвал 4, доме 4, понедельник 4, офис 4, сарае 3, кармане 3, каморке 3, школе 3, пятницу 3, сторожке 3, кладовке 3, каптерке 2, помещении 2, шкафу 2, карман 2, подсобку 2, гараже 2, комнату 2, гараж 2, склад 2, кладовую 2, — 2, столе 2, ключнице 2, мастерской 2, сарай 2, поле 1, машине 1, комнаты 1, сто пятой комнате 1, воскресенье 1, коморке 1, подъезде 1, каптерку 1, клад 1, учительскую 1, подъезд 1, полночь 1, организации 1, гардеробе 1, бардачке 1, рабочее время 1, я не понимаю, что это 1, конторе 1, дом 1, кабинете 1, канцелярии 1, канун 1, стол 1, офис(е) 1, гостиной 1, шкатулке 1, сумке 1, столовой 1, подвале 1, зал 1, баню 1, амбар 1, конверте 1, пути 1, коридоре 1, банки 1, ночи 1, раздевалке 1, приемной 1, бане 1, музее 1, банке 1, магазин 1, NR 1, каморку 1, фирме 1, соседней… кладовой 1, бухгалтерии 1, тюрьме 1, серверную 1, офисе 1, шкафчике 1, ключница 1, холле 1, парикмахерскую 1, сторожевой 1, от кладовки 1	7.272727	6.127825	147.2	4	3816.048485	3675.927273
85	Во дворе мальчишки весело играют в	футбол	171	1	29	футбол 66, прятки 26, мяч 18, волейбол 7, лапту 7, догонялки 6, хоккей 5, снежки 5, классики 5, салки 3, шахматы 3, бадминтон 2, игру 2, покер 1, веселые игры 1, баскетбол 1, войну 1, игры 1, грязи 1, пол 1, домино 1, города 1, салочки 1, гонялки 1, скакалку 1, волейболл 1, футбол" 1, гольшу 1, бильярд 1	38.596491	3.328077	27.4	2	1180.456140	1078.754386
86	Неловкий официант споткнулся и пролил чай на	посетителя	171	1	40	посетителя 30, скатерть 24, пол 19, клиента 17, стол 15, брюки 10, ковер 6, себя 5, гостя 5, посетителей 3, колени 3, костюм 2, рубашку 2, женщину 2, гостей 2, штаны 2, платье 1, голову 1, мои колени 1, постетителя 1, салфитку 1, мужчину 1, юбку 1, пиджак 1, вино 1, голову человека 1, постеителя 1, нас 1, одежду 1, свою рубашку 1, паркет 1, девушку 1, голову соседу 1, платье дамы 1, посетительницу 1, ноги 1, пальто 1, стул 1, борщ 1, полу 1	17.543860	4.157591	36.2	5	1607.654971	1512.725146
87	Троечник неожиданно удачно написал контрольную работу по	математике	171	1	19	математике 112, физике 11, алгебре 8, русскому 7, химии 6, геометрии 6, географии 4, русскому языку 3, биологии 2, литературе 2, истории 2, естествознанию 1, информатике 1, четыре 1, электродинамике 1, астрономии 1, арифметике 1, английскому 1, NR 1	65.497076	2.190347	28.0	5	1430.093567	1274.210526
88	Бухгалтер нещадно критикует себя за	ошибку	171	1	60	ошибку 46, ошибки 23, оплошность 9, невнимательность 6, работу 5, лень 5, отчет 5, медлительность 5, промахи 4, недосдачу 3, просчет 2, халатность 2, провал 2, все 2, - 2, тупость 2, недочеты 2, неточности 2, обман 2, растрату 2, воровство 1, работой 1, невыполнение 1, проказы 1, неудачу 1, неаккуратность 1, опечатки 1, недобросовестность 1, нерешительность 1, непослушание 1, неторопливость 1, мысли 1, недосчет 1, забывчивость 1, недостачу 1, промах 1, мягкотелость 1, косяки 1, характер 1, поведение 1, неправильное выполнение работы 1, что-то 1, расторопность 1, неправильные расчеты 1, плохое 1, огрехи 1, невежество 1, несерьезность 1, безответственность 1, неточность 1, дибилизм 1, глупость 1, годовой отчет 1, расчет 1, несданный баланс 1, нерасторопность 1, опоздание 1, спешку 1, несправедливость 1, нет ответа 1	26.900585	4.602892	104.4	3	2255.409357	2123.175439
89	Консьержка раз в месяц мыла	полы	170	2	28	полы 43, пол 41, окна 39, подъезд 13, лестницу 4, посуду 4, парадную 2, дверь 2, раму 2, окно 2, стойку 1, полы в подъезде 1, ступеньки 1, лестничный пролет 1, двери 1, зеркало 1, - 1, руки 1, лифт 1, полы в коридоре 1, лестницы 1, вазу 1, площадку 1, мужа-инвалида 1, тамбур 1, лестничную клетку 1, голову 1, ноги 1	25.294118	3.108065	181.9	2	2138.711765	2020.588235
90	Семейная пара мечтала следующим летом отдохнуть в	Крыму	172	0	65	Крыму 22, Турции 18, горах 12, Сочи 10, Испании 9, санатории 8, Египте 7, крыму 4, Италии 4, Ялте 4, италии 4, Греции 3, сочи 3, деревне 3, пансионате 3, Китае 2, Франции 2, болгарии 2, Европе 2,  турции 2, городе 2, Грузии 2, Тайланде 2, Геленджике 1, Бали 1, на курорте 1, Гаграх 1, новосибирске 1, Тебете 1, море 1, праге 1, Норвегии 1, круизе 1, греции 1, Болгарии 1, коттедже 1, голландии 1, Азии 1, космосе 1, саду 1, Японии 1, одессе 1, америке 1, англии 1, Англии 1, Лондоне 1, Канарах 1, теплых краях 1, исландии 1, Пицунде 1, египте  1, нью-йорке 1, другой стране 1, лесу 1, Волгограде 1, Новой Зеландии 1, Африке 1, Карелию 1, Таиланде 1, Краснодаре 1, Анапе 1, парижа 1, подмосковье 1, одиночестве 1, москве 1	12.790698	5.166931	NA	2	2239.546512	2073.668605
91	В зоопарке дети впервые увидели	слона	171	1	41	слона 62, жирафа 26, зебру 11, льва 10, бегемота 6, тигра 6, крокодила 5, медведя 5, обезьяну 4, верблюда 2, слонов 2, фламинго 2, носорога 2, леопарда 1, гиппопотама 1, бородавочника 1, лошадь 1, свиней 1, пингвина 1, кенгуру 1, слон 1, енота 1, мамонта 1, кошку 1, стрекозу 1, игуану 1, мангуста 1, животное 1, учительницу такую 1, Ельцина 1, ламу 1, лося 1, шимпанзе 1, - 1, панду 1, взрослых 1, змею 1, гуся 1, зверей 1, рысь 1, орангутанга 1	36.257310	3.716780	23.8	2	1937.116959	1774.415205
92	На рынке фермер недорого продавал 	овощи	171	1	59	овощи 25, молоко 17, мясо 14, картошку 12, капусту 11, огурцы 9, помидоры 7, яблоки 7, фрукты 6, рыбу 4, корову 3, картофель 3, зелень 2, арбузы 2, клубнику 2, морковку 2, дыни 2, колбасу 2, дыню 1, кур 1, масло 1, сыр 1, репу 1, яйца 1, крольчатину 1, телятину 1, мед 1, мяту 1, капустку 1, - 1, козу 1, — 1, тыквы 1, эскимо 1, свинину 1, шерсть 1, тыкву 1, морковь 1, поросят 1, апельсины 1, творог 1, ягоды 1, курицу 1, овес 1, мандарины 1, бананы 1, пряники 1, свою мясную продукцию 1, удочки 1, мясо кур 1, укроп 1, мебель 1, редьку 1, чеснок 1, продукцию 1, теленка 1, кабачки 1, яиц 1, булки 1	14.619883	4.886792	1.6	3	2153.210526	1975.461988
93	Посетители радостно фотографировались на фоне	памятника	169	3	79	памятника 14, фонтана 11, картины 10, природы 10, пейзажа 6, башни 5, моря 5, елки 5, слона 4, замка 4, достопримечательностей 4, статуи 3, дома 3, музея 3, озера 3, леса 3, деревьев 2, дерева 2, эйфелевой башни 2, выставки 2, неба 2, церкви 2, заката 2, водопада 2, сосны 2, реки 2, здания 2, кремля 2, гор 2, чистого неба 1, зимнего пейзажа 1, чучела 1, библиотеки 1, крокодила 1, огромной горы 1, собора 1, борща 1, аптеки 1, скамьи 1, Кремля 1, стола 1, зоопарка 1, развалин 1, пальмы 1, дерево 1, облаков 1, звезды 1, мэра 1, Красной Площади 1, сада 1, айзберга 1, лесного массива 1, экспоната 1, генерала 1, стены 1, достопримечательности 1, асфальта 1, пейзаж 1, Эйфелевой башни 1, берез 1, обезьянки 1, дворца 1, ели 1, пожара 1, вольера 1, куста 1, местных достопримечательностей 1, фонана 1, лужайке 1, университета 1, картин 1, небо 1, китайцев 1, карет 1, горы 1, лебедя 1, меня 1, Домского собора 1, океана 1	8.284024	5.732782	63.8	4	2738.011834	2499.692308
94	Депутат обвинил мэра в	коррупции	170	2	58	коррупции 51, воровстве 8, лжи 8, халатности 7, взятке 7, взяточничестве 6, растрате 6, мошенничестве 5, краже 5, взяточнистве 4, измене 4, подлоге 4, взятках 3, некомпетентности 3, преступлении 2, бездействии 2, нечестности 2, предвзятости 2, растратах 2, кокетничестве 1, приписках 1, хищении 1, мошинничестве 1, махинации 1, растрате(?) 1, взятчестве 1, нечистоплотности 1, глупости 1, недопустимости 1, взятничестве 1, мздоимстве 1, недобропорядочности 1, - 1, клевете 1, расточительстве 1, проступке 1, жестокости 1, подлоге документов 1, грязных делах 1, ошибке 1, некорректности 1, нарушениях 1, недостаточном усердии 1, надувательстве 1, изнасиловании 1, похищении денег 1, хищениях 1, некомпетенции 1, лишних средсв 1, предательстве 1, недопустимом отношении к чему-то 1, махинациях 1, взяточниство 1, жульничестве 1, равнодушии 1, стяжательстве 1, тунеядстве 1, превышении полномочий 1	30.000000	4.619125	23.0	4	2228.388235	2142.000000
95	Выходя из дома, я забыла взять 	ключи	169	3	30	ключи 48, зонт 26, зонтик 20, сумку 14, телефон 12, деньги 7, кошелек 6, паспорт 4, портфель 3, проездной 3, шарф 3, очки 2, ключ 2, шапку 2, голову 2, сумочку 1, варежки 1, документы 1, пропуск 1, часы 1, перчатки 1, шубу 1, кашне 1, носки 1, помаду 1, проездной билет 1, ноутбук 1, пуанты 1, бумажник 1, платок 1	28.402367	3.622911	78.0	2	1922.627219	1784.130178
96	Директор ещё не вернулся из	командировки	172	0	18	командировки 84, отпуска 67, школы 6, класса 1, бани 1, РОНО (мб по-другому пишется) 1, - 1, санатория 1, ГорОНО 1, РайОНО 1, боя 1, поездки 1, декрета 1, деревни 1, администрации 1, дома 1, РОНО 1, комнадировки 1	48.837209	1.851309	27.2	5	1537.011628	1344.825581
97	В этом кафе студент всегда заказывал	кофе	172	0	47	кофе 42, пиццу 33, обед 12, чай 11, суп 6, мороженое 4, борщ 4, завтрак 4, яичницу 3, торт 3, салат 3, пиво 3, суши 3, пунш 2, бутерброд 2, латте 2, одно и то же 2, ланч 2, пирожное 2, еду 2, гамбургер 1, компот 1, рыбу 1, пончики 1, винегрет 1, сырники 1, блинчики 1, бизнес-ланч 1, коньяк 1, капучино 1, брокколи 1, выпивку 1, стол 1, бульон 1, пиццу  1, мохито 1, поесть 1, пончик 1, первое 1, сосиски 1, круассаны 1, харчо 1, пироженое 1, пирожные 1, чебуреки 1, мороженное 1, яишницу 1	24.418605	4.221033	61.6	2	2292.180233	2165.209302
98	Графиня хранила драгоценности в 	шкатулке	168	4	30	шкатулке 95, сейфе 14, шкафу 12, сундуке 7, ларце 6, комоде 5, ящике 3, секретере 2, сундучке 2, чемодане 2, подушке 1, тумбочке 1, чулках 1, серванте 1, ушах 1, кубышке 1, комнате 1, вазе 1, бюро 1, сундучок 1, банке 1, ночном горшке 1, потайном шкафу 1, шатулке 1, — 1, сундучке, маленьком сундучке 1, кошельке 1, с(ейфе) 1, кувшине 1, шкатудке 1	56.547619	2.761457	5.3	3	1459.565476	1213.434524
99	На праздник мама подарила сыну	велосипед	171	1	74	велосипед 23, машину 16, телефон 13, подарок 13, машинку 9, компьютер 8, игрушку 5, книгу 4, автомобиль 4, свитер 3, костюм 2, портфель 2, - 2, рюкзак 2, конструктор 2, гитару 2, самокат 2, самолет 2, вертолет 2, обувь 1, робота 1, дерево 1, коньки 1, компот 1, платок 1, самолетик 1, мяч 1, кошелек 1, плеер 1, колье 1, мотоцикл 1, тетрадь 1, — 1, ящик 1, трактор 1, шар 1, сумку 1, цветы 1, пальто 1, ноутбук 1, медвежонка 1, фотоаппарат 1, айфон 1, пакет 1, валенки 1, торт 1, футбольный мяч 1, ручку 1, машин(к)у 1, паровоз 1, новую рубашку 1, магнитофон 1, отвертку 1, компьютере 1, трансформера 1, каякерское весло 1, шпагу 1, принтер 1, шоколадку 1, кружку 1, кофту 1, часы 1, деньги 1, очки 1, автомат 1, игрушки 1, конфету 1, вертолетик 1, собаку 1, лошадку 1, брюки 1, альбом 1, рогатку 1, шкаф 1	13.450292	5.270793	23.1	4	2333.333333	2193.415205
100	Художник изобразил на картине	пейзаж	170	2	76	пейзаж 26, море 16, природу 10, дерево 7, девушку 7, лес 7, натюрморт 6, лошадь 4, закат 4, себя 4, женщину 3, солнце 3, пятно 2, цветы 2, - 2, собаку 2, квадрат 2, лето 2, апельсин 2, медведя 2, гору 2, весну 1, лед 1, кошечку 1, скамью 1, корабль 1, баню 1, пейзажи 1, балерину 1, улицу 1, озеро 1, трех богатырей 1, человека 1, жирафа 1, нож 1, баталию 1, портрет 1, Мадонну 1, полоску 1, кота 1, ливень 1, пса 1, львов 1, замок 1, пейзажа 1, лук 1, маслом 1, крота 1, живопись 1, елку 1, девочку 1, полумесяц 1, осень 1, поэта 1, енота 1, дом 1, Машу 1, окно 1, восход 1, женщин 1, жену 1, рисунок 1, сестру 1, пингвина 1, облик Мадонны 1, девятый вал 1, зверя 1, речку 1, вазу 1, лес  1, стадо 1, Моне 1, небо 1, реку 1, натурщицу 1, нечто 1	15.294118	5.377598	24.3	2	2823.441176	2666.476471
101	Мы вернулись в кафе и забрали забытый	кошелек	170	2	33	кошелек 28, телефон 26, портфель 23, чемодан 16, зонт 15, зонтик 12, рюкзак 8, чай 3, шарф 3, счет 3, пакет 3, предмет 2, багаж 2, компьютер 2, сверток 2, завтрак 2, пенал 2, ноутбук 2, плащ 2, мешок 1, ужин 1, пиджак 1, портсигар 1, паспорт 1, кейс 1, цветок 1, чайник 1, девайс 1, билет 1, кофе 1, фотоаппарат 1, стул 1, планшет 1	16.470588	3.965263	11.4	3	2403.717647	2211.505882
102	Наместник императора прославился своей	жестокостью	168	4	65	жестокостью 51, добротой 11, храбростью 7, - 5, хитростью 5, эрудицией 5, жадностью 4, смелостью 4, мудростью 4, работой 3, красотой 3, щедростью 3, гордостью 3, находчивостью 2, победой 2, честностью 2, алчностью 2, преданностью 2, глупостью 2, злостью 2, привлекательностью 2, доблестью 1, смекалкой 1, грамотностью 1, убедительностью 1, безграмотносью 1, политикой 1, сдержанностью 1, искренностью 1, подготовкой 1, твердолобостью 1, нет ответа 1, черствостью 1, сторогстью 1, превосходность/непревзойденностью 1, проницательностью 1, гостеприимностью 1, добродушностью 1, заботой 1, дерзостью 1, тупостью 1, повюедой 1, веселостью 1, арфой 1, решительностью 1, наглостью 1, игрой 1, отвагой 1, справедливостью 1, славой 1, учтивостью 1, пунктуальностью 1, прямотой 1, разорительностью 1, силой 1, изысканностью 1, внешностью 1, сообразительностью 1, работоспособностью 1, женой 1, предосудительностью 1, неуживчивостью 1, вспыльчивостью 1, инициативой 1, откровенностью 1	30.357143	4.768226	15.8	4	2546.607143	2327.232143
103	Туристы восхищались живописной	природой	170	2	26	природой 67, картиной 48, местностью 21, панорамой 5, долиной 4, рекой 4, площадью 2, картине 1, травой 1, галереей 1, амбразурой 1, доминой 1, церковью 1, окрестностью 1, -гор 1, статуей 1, обстановкой 1, скалой 1, бухтой 1, окрестностями 1, картитной 1, равниной 1, группой 1, фауной 1, улицой 1, архитектурой 1	39.411765	2.724953	169.9	3	2583.276471	2366.105882
104	Девушка надела бордовые	туфли	172	0	37	туфли 27, сапоги 21, босоножки 15, брюки 15, штаны 14, колготки 13, джинсы 8, перчатки 6, чулки 6, леггинсы 5, лосины 5, кроссовки 4, сапожки 3, носки 3, ботинки 3, гольфы 2, трусы 2, кольца 1, платье 1, босонжки 1, балетки 1, варежки 1, рукавички 1, шорты 1, ботфорты 1, лабутены 1, шлепанцы 1, сережки 1, башмаки 1, - 1, гетры 1, трусишки 1, штиблеты 1, стринги 1, лодочки 1, пальто 1, галоши 1	15.697674	4.264988	23.2	2	2495.418605	2333.523256
105	Дошкольник взял фломастер и нарисовал оранжевый	круг	172	0	43	круг 64, шар 21, апельсин 19, цветок 14, шарик 5, букет 4, предмет 3, дом 3, мяч 2, квадрат 2, верблюд 2, вертолет 2, дуб 1, пезаж 1, стол 1, паровоз 1, портфель 1, закат 1, расвет 1, пейзаж 1, лист 1, - 1, _ 1, песок 1, слон 1, галстук 1, взрыв 1, поезд 1, шарф 1, домик 1, самокат 1, автобус 1, мир 1, листок 1, портрет 1, цветочек 1, берег 1, велосипед 1, треугольник 1, жилет 1, арбуз 1, сарай 1, номер 1	37.209302	3.662476	157.4	1	2600.110465	2408.110465
106	Сестра волновалась перед важным	экзаменом	171	1	26	экзаменом 63, событием 47, собеседованием 11, свиданием 9, совещанием 7, собранием 5, делом 3, мероприятием 3, выступлением 3, занятием 2, зачетом 2, днем 2, визитом 1, собитием 1, экзамном 1, шагом 1, экзамен 1, выходом 1, мероприятии 1, концертом 1, клиентом 1, докладом 1, интервью 1, зачета 1, экспериментом 1, дедлайном 1	36.842105	2.998302	45.4	4	1828.666667	1740.795322
107	Из шкафа мама достала старую	кофту	170	2	49	шубу 22, кофту 22, шаль 15, одежду 14, книгу 9, шляпу 8, куртку 5, посуду 5, скатерть 4, вещь 4, юбку 4, сумку 4, книжку 3, куклу 3, тетрадь 3, вазу 3, шапку 3, фотографию 2, пижаму 2, чашку 2, рубашку 2, простынь 2, игрушку 2, шкатулку 2, надежду 1, шляпку 1, столешницу 1, балалайку 1, клеенку 1, обувь 1, гармошку 1, корзину 1, — 1, футболку 1, картинку 1, копилку 1, коробку 1, занавеску 1, рухлядь 1, бабушку 1, ложку 1, простыню 1, косынку 1, шинель 1, картину 1, блузку 1, жилетку 1, пластинку 1, кровать 1	12.941176	4.740895	7.7	2	2352.094118	2217.158824
108	Вернувшись в офис после отпуска, секретарша заметила новый	стол	172	0	46	стол 48, компьютер 27, шкаф 12, телефон 7, стул 7, принтер 6, диван 5, цветок 5, ноутбук 4, предмет 4, холодильник 3, интерьер 3, телевизор 3, сервиз 2, ковер 2, календарь 2, порядок 2, прибор 2, портфель 1, парк 1, поршень 1, кондиционер 1, аппарат 1, ша(?) 1, - 1, чайник 1, кабинет 1, гардероб 1, письменный стол 1, офис 1, наряд 1, замок 1, элемент порядка 1, распорядок дня 1, рабочий стол 1, кулер 1, комод 1, телефизор 1, журнал 1, стенд 1, плакат 1, чугун? 1, торшер 1, альбом 1, планшет 1, гарнитур 1	27.906977	4.183379	402.5	1	3038.005814	2841.156977
109	На кухне дочка доедает вкусный	пирог	172	0	23	пирог 60, торт 24, обед 17, завтрак 9, борщ 9, суп 8, ужин 7, бутерброд 7, пирожок 6, салат 4, омлет 4, десерт 4, тортик 2, кисель 2, носок 1, чай 1, эклеры 1, пудинг 1, чизкейк 1, арбуз 1, миндаль 1, маффин 1, яблок 1	34.883721	3.369225	16.3	2	1812.005814	1651.581395
110	Прохожие еле разминулись на узкой	тропинке	172	0	9	тропинке 96, дорожке 21, дороге 17, улице 16, улочке 9, тропе 9, лестнице 2, трубке 1, - 1	55.813953	2.095215	15.5	3	1786.831395	1587.587209
111	В киоске продавались сувениры из светло-серой	глины	165	7	33	глины 36, бумаги 33, ткани 19, керамики 11, кожи 10, пластмассы 6, замши 6, шерсти 5, материи 4, стали 3, фольги 3, - 3, пряжи 3, бумаге 3, краски 2, коллекции 1, комнаты 1, подложке 1, пластелины 1, глазури 1, обертке 1, фарфора 1, фланели 1, массы 1, газеты 1, — 1, альбом 1, курамики 1, парчи 1, оригами 1, бронзы 1, пластелина 1, картонки 1	21.818182	3.845294	18.4	2	3590.945455	3427.266667
112	Ассистент обратился за помощью к своей	помощнице	171	1	39	помощнице 20, подруге 18, начальнице 17, руководительнице 14, секретарше 11, учительнице 10, маме 7, преподавательнице 5, жене 5, соседке 5, знакомой 5, студентке 5, коллеге 5, бабушке 4, напарнице 4, сестре 3, наставнице 2, ассистентке 2, лаборантке 2, однокурснице 2, сотруднице 2, медсестре 2, спутнице 2, научной руководительнице 2, сокурснице 2, матери 2, одногруппнице 1, ученице 1, - 1, научнице 1, ассистентше 1, адъютантке 1, абитуриентке 1, подручной 1, коллеги 1, любовнице 1, тете 1, практикантке 1, подассистентке 1	11.695906	4.577944	3.9	4	3085.725146	2880.602339
113	Лектор увлечённо рассказывал о недавнем	событии	172	0	36	событии 43, происшествии 35, проишествии 16, случае 14, путешествии 12, открытии 4, инциденте 4, приключении 4, эксперименте 4, прошлом 3, экзамене 3, походе 3, мероприятии 2, опыте 2, времени 2, проишествие 1, собитии 1, посещении 1, событи 1, 3114 1, заседании 1, споре 1, петешествии 1, — 1, диспуте 1, - 1, отпуске 1, сви/свидании 1, теракте 1, нет ответа 1, заявлении 1, посетителю 1, посещении занятия 1, случаем 1, семинаре 1, будущем 1	25.000000	3.789977	206.5	4	2452.180233	2299.313953
114	Андрей устал нести тяжёлый	чемодан	171	1	23	чемодан 49, рюкзак 37, груз 33, пакет 15, портфель 13, мешок 5, саквояж 2, - 2, сундучок 1, руюкзак 1, предмет 1, бред 1, компьютер 1, баул 1, ящик 1, крест 1, ранец 1, ананас 1, сумку 1, груз бытия 1, шкаф 1, поединок 1, багаж 1	28.654971	2.992974	42.8	3	1909.444444	1776.198830
115	Грабители украли из квартиры ценный	предмет	165	7	53	предмет 30, подарок 16, груз 11, сервиз 7, экспонат 7, телевизор 7, артефакт 6, антиквариат 6, сувенир 5, товар 5, гарнитур 4, документ 3, материал 3, - 3, портрет 3, компьютер 3, магнитофон 3, вещи 3, портфель 2, кошелек 2, экземпляр 2, сундук 2, шкаф 2, чемодан 1, абажаур 1, клад 1, объект 1, металл 1, кейс 1, диван 1, сейф 1, ковер 1, секретер 1, сервант 1, девайс 1, кирпич 1, ноутбук 1, картину 1, сосуд 1, браслет 1, сервис 1, приз 1, пакет документов 1, пылесос 1, антиквар 1, альбом 1, перстень 1, стул 1, письма 1, кулон 1, амулет 1, ключ 1, башмак 1	18.181818	4.858819	154.4	2	3097.078788	2934.400000
116	Моя крестница живёт прямо напротив местного	магазина	170	2	76	магазина 22, театра 9, клуба 9, музея 7, универмага 7, банка 6, кинотеатра 5, рынка 4, супермаркета 4, дома 4, бара 4, собора 3, университета 3, парка 3, самоуправления 3, общежития 3, кладбища 3, телеграфа 3, храма 2, отделения милиции 2, ателье 2, зоопарка 2, - 2, универсама 2, ЖЭКа 2, борделя 2, загса 2, дом культуры 2, почтальона 1, дурдома 1, училища 1, почтамта 1, райцентра 1, прихода 1, муниципалитета 1, исполкома 1, отеля 1, удара 1, детсада 1, кафе 1, РУВД 1, кино 1, приюта 1, ЗАГСа 1, Кремля 1, почтового отделения 1, детского сада 1, домоправления 1, парткома 1, медпункта 1, полицейского 1, отдела полиции 1, планетария 1, ДК 1, цирка 1, дома культуры 1, дворца 1, драмтеатра 1, роддома 1, адвоката 1, участка 1, почтампа 1, жэк 1, управления 1, госпиталя 1, ресторана 1, домоуправления 1, двора 1, катка 1, ларька 1, УВД 1, отделения почты 1, управдома 1, отделения 1, монумента 1, мвд 1	12.941176	5.604257	147.2	4	3217.464706	3077.052941
117	Ирина зашла на вещевой рынок и купила недорогую	сумку	172	0	44	сумку 22, шубу 15, вещь 15, одежду 13, кофту 11, юбку 10, блузку 10, обувь 9, посуду 6, куртку 6, футболку 5, шаль 4, кофточку 4, шапку 4, сумочку 3, вазу 3, шубку 2, вещицу 2, ткань 2, мебель 2, шляпку 1, скатерть 1, картошку 1, ягоду 1, кастрюлю 1, обновку 1, - 1, тунику 1, шмотку 1, утварь 1, дубленку 1, книгу 1, блузу 1, брошь 1, игрушку 1, шинель 1, овощ/рыбу 1, одежку 1, шкатулку 1, бижутерию 1, картофель 1, еду 1, обувку 1, кровать 1	12.790698	4.632192	55.5	2	2608.261628	2430.662791
118	Парижанин с гостьей гуляли по окрестным	улицам	166	6	42	улицам 35, местам 31, паркам 11, улочкам 11, полям 10, достопримечательностям 8, Парижа 6, местностям 4, дворам 4, деревням 4, лесам 4, селам 3, городам 3, дорогам 2, лугам 2, барам 2, околицам 1, селениям 1, домам 1, пейзажам 1, предместьям 1, города 1, парку 1, садам 1, окрестностям 1, площадям 1, задворкам 1, скверам 1, кварталам 1, улицам Лондона 1, Москвы 1, дворикам 1, парка 1, нет ответа 1, областям 1, аррондисманам 1, районам 1, Елисейским полям 1, кабакам 1, горам 1, окраинам 1, набережным 1	21.084337	4.185574	337.8	3	2794.777108	2646.831325
119	Анна обожала посещать субботние	вечера	171	1	33	вечера 48, вечеринки 28, концерты 20, мероприятия 12, дискотеки 8, встречи 6, посиделки 6, танцы 5, лекции 4, выставки 4, чтения 3, утренники 3, тренировки 2, заседания 2, спектакли 2, тренинги 1, вечеренки 1, слушанья 1, дни 1, гитарники 1, конерты 1, треннинги 1, службы 1, театр 1, представления 1, тусовки 1, беседы 1, песнопения 1, занятия 1, пары 1, курсы 1, поезда 1, митинги 1	28.070175	3.731997	335.4	3	2652.807018	2498.491228
120	Всю жизнь дедушка собирал антикварные	вещи	171	1	36	вещи 65, предметы 19, марки 14, часы 12, монеты 12, украшения 5, статуэтки 4, книги 4, ложки 3, картины 3, изделия 3, вещицы 2, шкатулки 2, чаши 1, произведения 1, лампы 1, расчески 1, кружки 1, книжки 1, серьги 1, самогонные аппараты 1, ручки 1, маски 1, столики 1, вазы 1, машинки 1, тарелки 1, стаканы 1, столовые приборы 1, машины 1, бабушки 1, наперстки 1, приборы столовые 1, штуки 1, картинки 1, зажигалки 1	38.011696	3.573520	242.5	2	2811.017544	2699.947368
